Partlist

Exported from OSHintosh v23.sch at 20/Mar/26 10:36

EAGLE Version 9.7.0 Copyright (c) 1988-2026 Autodesk, Inc.

Assembly variant: 

Part     Value                Device                       Package                      Library                 Sheet
C67      33u 16V              33U_TH_ELEC_CAPVERTICAL      CAP_ELECTROLYTIC             Capacitors TH           1
C68      33p                  33P_TH_CAP                   CAP_5.08MM_PITCH             Capacitors TH           1
CN1      2way                 PIN_HEADER_2W_VERT_TH        2W_2.54MM_PITCH_VERT_TH      Connectors              1
CN2                           DB9FEMALE                    DB9                          SparkFun-Connectors     1
CN3                           DB9FEMALE                    DB9                          SparkFun-Connectors     1
CN4                           DB9FEMALE                    DB9                          SparkFun-Connectors     1
CN5      XRJK-S-01-6-4-0-9M2  XRJK-S-01-6-4-0-9M2          XRJK-S-01-6-4-0-9M2          con-xmultiple           1
CN6      AUDIO_JACK_3.5MM_PTH AUDIO_JACK_3.5MM_PTH         AUDIO-JACK                   SparkFun-Connectors     1
CN7      V06-1x20-SV-GF-1     PICO_BOARD                   PICO_SOCKET                  uProcessor              1
CN8      DB15                 DB15                         DB15                         SparkFun-Retired        1
CN9      ATX24RH              ATX24RH                      ATX24_RIGHT_ANGLE            SparkFun-Connectors     1
CN10     2way                 PIN_HEADER_2W_VERT_TH        2W_2.54MM_PITCH_VERT_TH      Connectors              1
CN11     2way                 PIN_HEADER_2W_VERT_TH        2W_2.54MM_PITCH_VERT_TH      Connectors              1
CN12     RCA                  RCA                          RCA                          SparkFun-Connectors     1
CN13     V06-1x3-SV-GF-1      PIN_HEADER_3W_VERT_FEMALE_TH 3W_2.54MM_PITCH_VERT_TH      Connectors              1
CN14     2way                 PIN_HEADER_2W_VERT_TH        2W_2.54MM_PITCH_VERT_TH      Connectors              1
D1       5V1 Zener            ZENER-DIODEF126-10           F126Z10                      diode                   1
D2       1N4150               1N4148DO35-7                 DO35-7                       diode                   1
D3       Red                  5MM_LED_RED                  5MM_TH_VERT_STANDARD         Optoelectronics         1
D4       1N4004               1N4004                       DO41-10                      adafruit                1
D5       1N4004               1N4004                       DO41-10                      adafruit                1
FB1      FB                   FB                           FB                           adafruit                1
FB2      FB                   FB                           FB                           adafruit                1
IC1      68000                MC68000P                     DIL64                        micro-mc68000           1
IC2      TSM                  16V8                         DIL20                        pal                     1
IC3      LAG                  16V8                         DIL20                        pal                     1
IC4      LM311N               LM311N                       DIL08                        linear                  1
IC5      TSG                  16V8                         DIL20                        pal                     1
IC6      ASG                  16V8                         DIL20                        pal                     1
IC7      BMU0                 16V8                         DIL20                        pal                     1
IC8      BMU1                 16L8                         DIL20                        pal                     1
IC9      74LS244N             74LS244N                     DIL20                        74xx-eu                 1
IC10     74LS244N             74LS244N                     DIL20                        74xx-eu                 1
IC11     Z85C30               Z85C30                       DIP40                        ICs                     1
IC12     74LS257N             74LS257N                     DIL16                        74xx-eu                 1
IC13     74LS257N             74LS257N                     DIL16                        74xx-eu                 1
IC14     74LS253N             74LS253N                     DIL16                        74xx-eu                 1
IC15     AM26LS30             AM26LS30                     DIP16                        ICs                     1
IC16     74LS393N             74LS393N                     DIL14                        74xx-eu                 1
IC17     74LS393N             74LS393N                     DIL14                        74xx-eu                 1
IC18     74LS253N             74LS253N                     DIL16                        74xx-eu                 1
IC19     74LS253N             74LS253N                     DIL16                        74xx-eu                 1
IC20     74LS253N             74LS253N                     DIL16                        74xx-eu                 1
IC21     74LS253N             74LS253N                     DIL16                        74xx-eu                 1
IC22     AM26LS32             AM26LS32                     DIP16                        ICs                     1
